Source	Target	Type	id	label	timeset	weight
Lenthall, William, 1591-1662.	Lenthall, William, 1591-1662.	Undirected	1237			82.0
Damon, John, 17th cent.	Daniell, Benjamin.	Undirected	1238			192.0
Damon, John, 17th cent.	Damon, John, 17th cent.	Undirected	1239			96.0
Stapleton, Philip, Sir, 1603-1647.	Rushworth, John, 1612?-1690.	Undirected	1240			367.0
Stapleton, Philip, Sir, 1603-1647.	Fairfax, Thomas Fairfax, Baron, 1612-1671.	Undirected	1241			128.0
Stapleton, Philip, Sir, 1603-1647.	Essex, Robert Devereux, Earl of, 1591-1646.	Undirected	1242			64.0
Charles I, King of England, 1600-1649.	Parker, Henry, 1604-1652.	Undirected	1243			87.0
Morgan, Thomas, Sir, d. 1679?	Rushworth, John, 1612?-1690.	Undirected	1244			912.0
Morgan, Thomas, Sir, d. 1679?	Fairfax, Thomas Fairfax, Baron, 1612-1671.	Undirected	1245			592.0
Scotland. Parliament.	Prynne, William, 1600-1669.	Undirected	1246			64.0
Scotland. Parliament.	England and Wales. Army.	Undirected	1247			130.0
Scotland. Parliament.	Scotland. Parliament.	Undirected	1248			105.0
Golbee, John.	Golbee, John.	Undirected	1249			66.0
Hippisley, Edmund.	Cillard, Alderman.	Undirected	1250			284.0
Burgine, Darby.	Warwick, Robert Rich, Earl of, 1587-1658.	Undirected	1251			1432.0
Rudyerd, Benjamin, Sir, 1572-1658.	Grimston, Harbottle, Sir, 1603-1685.	Undirected	1252			1983.0
Essex, Robert Devereux, Earl of, 1591-1646.	Rushworth, John, 1612?-1690.	Undirected	1253			128.0
Essex, Robert Devereux, Earl of, 1591-1646.	Fairfax, Thomas Fairfax, Baron, 1612-1671.	Undirected	1254			264.0
Rushworth, John, 1612?-1690.	Rushworth, John, 1612?-1690.	Undirected	1255			1014.0
Rushworth, John, 1612?-1690.	Fairfax, Thomas Fairfax, Baron, 1612-1671.	Undirected	1256			1654.0
Rushworth, John, 1612?-1690.	Cromwell, Oliver, 1599-1658.	Undirected	1257			250.0
Peters, Hugh, 1598-1660.	Fairfax, Thomas Fairfax, Baron, 1612-1671.	Undirected	1258			11084.0
England and Wales. Army.	England and Wales. Army.	Undirected	1259			108.0
England and Wales. Army.	Fairfax, Thomas Fairfax, Baron, 1612-1671.	Undirected	1260			16895.0
England and Wales. Army.	Prynne, William, 1600-1669.	Undirected	1261			753.0
Bristol, George Digby, Earl of, 1612-1677.	Loftus, Edward, 17th cent.	Undirected	1262			1600.0
Fairfax, Thomas Fairfax, Baron, 1612-1671.	Fairfax, Thomas Fairfax, Baron, 1612-1671.	Undirected	1263			616.0
Fairfax, Thomas Fairfax, Baron, 1612-1671.	Prynne, William, 1600-1669.	Undirected	1264			76.0
Fairfax, Thomas Fairfax, Baron, 1612-1671.	Cromwell, Oliver, 1599-1658.	Undirected	1265			506.0
Loftus, Edward, 17th cent.	Loftus, Edward, 17th cent.	Undirected	1266			70.0
Prynne, William, 1600-1669.	Prynne, William, 1600-1669.	Undirected	1267			499.0
Cromwell, Oliver, 1599-1658.	Cromwell, Oliver, 1599-1658.	Undirected	1268			83.0
