id	label	timeset	modularity_class	pageranks
Bristol, George Digby, Earl of, 1612-1677.	Bristol, George Digby, Earl of, 1612-1677.		21	0.0016658466649560337
La Fountaine.	La Fountaine.		14	0.006174541610626826
Fairfax, Thomas Fairfax, Baron, 1612-1671.	Fairfax, Thomas Fairfax, Baron, 1612-1671.		15	0.01707072014816458
Grimston, Harbottle, Sir, 1603-1685.	Grimston, Harbottle, Sir, 1603-1685.		16	0.006174541610626826
Daniell, Benjamin.	Daniell, Benjamin.		17	0.0016658466649560337
Brookes, William.	Brookes, William.		18	0.006174541610626826
Parker, Henry, 1604-1652.	Parker, Henry, 1604-1652.		19	0.0026024379466165534
Warwick, Robert Rich, Earl of, 1587-1658.	Warwick, Robert Rich, Earl of, 1587-1658.		20	0.006174541610626826
Loftus, Edward, 17th cent.	Loftus, Edward, 17th cent.		21	0.0031307965633377358
Goring, George Goring, Baron, 1608-1657.	Goring, George Goring, Baron, 1608-1657.		22	0.006174541610626826
Prynne, William, 1600-1669.	Prynne, William, 1600-1669.		11	0.009962723507329699
Glynne, John, Sir, 1603-1666.	Glynne, John, Sir, 1603-1666.		23	0.006174541610626826
Cromwell, Oliver, 1599-1658.	Cromwell, Oliver, 1599-1658.		15	0.007825235103469648
Cillard, Alderman.	Cillard, Alderman.		24	0.003085468092070503
